Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
48,0,2,3,2,9.920804828174788,20,67,13,2,0
30,0,1,6,1,43.10534312417558,23,52,85,2,0
27,0,3,14,4,31.706658809375902,54,50,50,1,1
48,0,2,6,1,17.291229200972435,24,52,64,3,0
40,0,4,13,3,10.586810869513323,6,3,92,3,0
42,0,3,5,5,43.5702873945737,70,73,56,2,0
30,0,3,12,5,5.2132183077925545,96,46,78,3,1
30,0,1,7,5,18.804654258321083,70,55,81,2,0
40,0,3,12,5,14.706018190960034,10,17,29,2,0
21,0,2,7,4,26.903858259878053,91,0,38,3,0
43,0,1,9,3,38.40080383497012,56,2,71,2,0
25,0,2,9,4,47.429844076531914,82,82,44,2,0
40,0,2,5,5,14.25406421692863,87,32,11,2,0
41,0,3,13,4,27.611143742809695,33,89,91,3,1
48,0,2,8,2,42.082078488947765,70,3,21,1,0
31,0,2,4,1,6.068992123493176,74,13,43,2,0
46,0,3,3,2,25.113700004077177,61,21,76,1,1
35,0,1,6,1,30.134307327729143,74,67,18,1,1
49,0,3,2,1,7.070745275248607,67,100,99,3,0
34,0,2,1,2,10.189233255395058,28,94,35,1,0
38,0,2,2,1,25.360600346095698,15,25,92,2,0
42,0,2,1,5,13.440951350996594,76,98,47,3,0
44,0,2,7,1,14.981815924660312,80,87,68,2,1
24,0,1,5,5,37.40061288980987,43,28,53,2,0
38,0,1,5,1,41.65738275839925,18,59,41,2,0
28,0,2,6,3,20.27767822006569,76,60,13,1,1
37,0,2,10,5,43.80005374465764,65,45,5,3,0
23,0,3,12,3,38.497684090120394,40,48,6,2,0
44,0,1,14,5,41.25584256580888,74,21,36,2,0
33,0,3,3,5,4.485971291686473,69,56,17,3,0
37,0,2,10,3,45.67023645439935,60,13,86,3,0
21,0,2,2,1,44.12448109491505,28,11,43,2,0
39,0,2,3,2,16.799857056261366,65,54,46,1,0
47,0,2,2,2,43.6106195600837,18,50,34,2,0
34,0,2,14,5,3.046697218717269,67,38,86,1,1
26,0,2,13,4,32.17595975870772,69,32,59,2,0
31,0,2,4,3,4.155318455777312,56,28,89,1,0
27,0,2,5,2,34.6377993123462,60,69,7,2,0
34,0,1,2,4,17.863344802711318,91,30,79,1,1
22,0,2,5,1,9.979989072004797,29,79,40,3,0
33,0,2,14,1,15.067531092692082,70,30,2,1,0
36,0,2,10,5,23.878766612521588,72,88,95,2,1
23,0,2,9,4,24.76929276777412,24,45,68,1,1
23,0,1,15,4,23.84089022780676,5,51,95,1,1
21,0,1,15,3,43.28336745493857,17,9,25,2,0
25,0,2,8,3,13.767667511445074,91,73,57,2,0
41,0,4,10,3,42.398823175112575,10,40,99,1,1
29,0,2,3,4,19.899701931307657,96,94,39,1,1
41,0,2,11,3,24.31266407639177,76,2,4,3,0
50,0,4,12,4,21.115352069118597,83,51,31,2,1
31,0,1,2,1,36.953781025540586,66,27,76,1,0
29,0,2,8,2,48.188905568418456,77,86,10,2,0
23,0,1,4,3,6.028136604172218,90,12,7,3,0
33,0,2,14,4,20.66307425496076,16,96,24,1,1
35,0,2,5,2,44.03994684577475,92,96,31,2,0
34,0,2,2,5,18.309844334016383,35,68,87,2,0
33,0,4,4,3,18.50993405116095,25,60,77,1,1
42,0,1,10,4,31.860979149722905,52,59,2,3,0
49,0,2,3,2,21.212082105351957,24,62,83,3,0
27,0,2,1,4,50.66325982148733,1,85,78,1,1
32,0,3,12,3,26.83137959271377,3,29,44,1,1
34,0,2,0,1,26.86047138467647,5,17,24,2,0
40,0,2,0,5,43.40907491399736,20,95,60,2,0
43,0,1,12,2,35.25872566388903,76,55,43,2,0
45,0,1,3,4,15.502201408899328,100,52,96,1,1
44,0,1,6,3,11.073196052676646,88,6,45,3,0
28,0,2,0,2,6.664980219913385,32,78,64,1,1
48,0,2,9,2,9.595627886355215,13,51,79,2,0
34,0,3,3,2,28.366234216974306,55,3,81,3,0
32,0,2,8,5,9.229963684978737,99,33,6,1,1
44,0,3,13,5,16.86944250139426,20,32,87,2,0
26,0,1,9,4,12.015954931098376,45,68,48,1,1
27,0,2,5,2,38.17175869780972,91,3,55,1,0
43,0,2,0,5,27.641351870069713,7,38,14,2,0
30,0,2,1,4,35.74591898907538,2,89,57,2,0
38,0,2,10,5,1.527556122509493,88,32,34,2,0
36,0,2,5,2,20.70450763872515,18,32,87,1,0
22,0,1,2,2,18.292942898763464,65,19,15,2,0
20,0,3,10,5,38.308981927613615,85,20,92,3,1
46,0,2,4,2,41.101913514143426,73,44,86,2,0
24,0,1,14,4,9.029684752165428,81,89,44,2,0
26,0,2,11,3,10.597771949786289,45,81,39,1,1
26,0,2,12,1,43.248542682005066,4,11,93,2,0
28,0,2,10,4,24.816117610345216,89,64,52,1,1
27,0,2,8,4,34.48772256091239,76,72,26,2,0
31,0,2,10,1,21.11865253612338,26,2,46,2,0
42,0,2,11,3,19.64999177834315,62,15,96,2,0
49,0,3,10,4,35.789748347037275,98,77,17,1,1
24,0,1,8,5,50.77554840079332,62,97,11,2,0
22,0,2,9,3,23.513840522079537,77,96,19,2,0
22,0,1,6,4,48.60478258264619,42,70,93,3,0
34,0,2,14,3,41.428526707369514,84,46,46,1,1
33,0,3,15,1,16.895233688664177,56,21,28,2,0
20,0,1,14,2,20.106645441299392,83,32,44,1,1
45,0,2,14,5,2.869849520439865,74,63,8,3,0
42,0,2,0,5,26.26826282529648,56,84,23,2,0
50,0,2,8,4,21.15156556413683,97,38,14,3,0
33,0,1,13,1,32.72782338707624,73,83,35,1,1
34,0,2,1,1,10.346571472072348,87,8,100,1,1
47,0,1,1,2,5.961479804732338,26,1,77,3,0
32,0,3,2,1,22.432213960426587,57,18,75,1,1
38,0,2,13,1,32.425108511810194,36,19,35,1,0
39,0,2,15,2,50.87590655863375,49,88,92,1,1
48,0,2,1,3,2.6225538395337855,21,67,26,2,0
49,0,2,15,3,16.515355789584873,24,83,33,3,0
24,0,1,6,5,20.956305022248305,78,2,67,1,1
42,0,2,9,5,13.11285787923837,89,86,87,2,1
26,0,3,1,5,11.174399727765628,71,50,20,2,0
34,0,3,14,2,46.92608013852589,87,25,6,1,1
30,0,2,2,4,3.3496250501558738,47,55,64,2,0
48,0,2,3,1,17.940651080242407,69,99,2,2,0
23,0,2,10,2,21.25742768392033,98,63,50,3,0
46,0,1,7,3,33.01903733221205,45,94,53,1,1
38,0,2,13,1,43.525211416429855,35,36,79,1,1
41,0,4,2,3,38.04346341926089,57,96,73,2,0
47,0,2,9,2,28.12866634829778,75,26,92,2,0
21,0,1,5,3,33.67933850222099,37,44,58,2,0
29,0,2,0,5,14.699439077150904,10,3,5,1,0
49,0,2,7,2,25.46136273749596,41,89,16,1,1
25,0,2,7,3,15.5846725360793,10,98,23,1,1
49,0,2,5,2,48.6972606246888,40,11,70,2,0
47,0,2,0,4,1.8330235622107995,72,31,47,1,0
26,0,1,11,5,40.7830115330721,54,37,20,1,0
20,0,2,5,1,15.11569171053601,59,85,98,2,0
20,0,2,4,5,30.26484141671557,1,97,19,3,0
49,0,3,7,5,7.5529315402145185,42,55,76,1,1
39,0,4,4,2,26.397434595320412,69,32,75,2,0
32,0,1,1,4,38.5165387909978,66,9,61,1,0
28,0,1,12,4,16.535766415572372,55,79,84,2,0
22,0,2,9,5,26.72448011560194,62,63,36,3,0
26,0,4,10,4,43.841767486158815,74,63,5,2,1
27,0,1,11,2,18.98599309551348,91,67,25,3,0
46,0,2,5,5,27.807769312636804,9,90,7,1,0
49,0,2,7,4,23.178167274925137,46,42,90,2,0
29,0,2,10,3,38.846382967072074,14,96,20,1,1
31,0,2,4,4,35.45605452478791,17,18,24,1,0
43,0,2,14,4,44.18205262085781,81,20,14,3,0
46,0,2,1,5,22.34291643975448,1,8,48,2,0
43,0,1,14,5,2.520794040398399,97,72,40,1,1
39,0,2,15,3,44.70068356543578,25,16,56,1,0
36,0,1,10,4,12.035629297220934,70,43,41,2,0
49,0,1,9,5,8.922401859495299,37,44,46,2,0
39,0,3,3,4,16.569096994629216,4,17,13,2,0
31,0,1,5,2,21.084844637988823,10,32,67,1,0
22,0,2,10,5,31.753231492890563,82,40,75,3,0
24,0,4,7,2,26.659494585491487,84,4,23,1,1
43,0,3,11,3,49.66304415152459,60,79,68,3,1
47,0,2,5,1,1.3571040884122525,21,53,79,3,0
20,0,3,5,1,23.511814333630863,29,24,22,3,0
38,0,4,4,1,18.59424171735032,23,54,92,2,0
40,0,2,4,2,7.232371449640667,68,81,92,3,0
45,0,1,9,4,32.79553828548692,23,94,20,1,1
25,0,4,11,3,39.29342128312658,59,32,14,1,1
23,0,3,1,2,3.3529189730009445,54,56,41,2,0
43,0,2,12,4,21.720419885924755,23,37,62,3,0
46,0,1,14,2,47.79130667014114,76,40,67,2,0
36,0,2,3,5,23.852982963288817,23,6,26,2,0
50,0,4,2,2,15.51275526862647,53,77,86,3,0
24,0,1,4,4,31.47529455024916,79,88,51,3,0
30,0,2,10,5,26.48282254018803,34,51,51,3,0
