Unnamed: 0,Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Gender_encoded,RecruitmentStrategy_encoded,EducationLevel_encoded
0,26,Male,Bachelor,0,3,26.78382755385365,48,78,91,Referral,1,1,2,1
5,27,Female,Master,14,4,31.706658809375902,54,50,50,Referral,1,0,2,2
8,26,Male,Master,6,5,28.77486400848157,80,78,51,Referral,1,1,2,2
14,43,Male,Bachelor,3,3,35.019220688126104,23,22,98,Referral,0,1,2,1
17,27,Male,PhD,1,5,37.993391330020174,11,34,41,Referral,0,1,2,3
25,49,Male,Bachelor,12,4,36.21676579785903,22,36,76,Referral,1,1,2,1
32,45,Male,PhD,11,5,5.635740540513495,11,92,30,Referral,1,1,2,3
34,48,Female,Bachelor,8,2,42.082078488947765,70,3,21,Referral,0,0,2,1
38,46,Female,Master,3,2,25.113700004077177,61,21,76,Referral,1,0,2,2
40,50,Male,Master,0,1,9.72949256235932,30,2,50,Referral,0,1,2,2
41,29,Male,Master,10,4,36.37131375809662,1,86,6,Referral,1,1,2,2
44,35,Female,High School,6,1,30.134307327729143,74,67,18,Referral,1,0,2,0
45,34,Male,Bachelor,10,1,7.205368385688869,33,20,82,Referral,1,1,2,1
48,34,Female,Bachelor,1,2,10.189233255395058,28,94,35,Referral,0,0,2,1
53,39,Male,Bachelor,11,1,21.394480425364,36,37,62,Referral,1,1,2,1
59,40,Male,Bachelor,10,5,39.72097473031516,7,64,89,Referral,1,1,2,1
60,28,Female,Bachelor,6,3,20.27767822006569,76,60,13,Referral,1,0,2,1
61,26,Male,Bachelor,6,5,26.33428954270014,100,18,28,Referral,1,1,2,1
65,47,Male,Bachelor,5,1,7.842258329317841,87,77,52,Referral,1,1,2,1
70,45,Male,Master,3,2,37.23481271309122,82,96,0,Referral,1,1,2,2
73,39,Female,Bachelor,3,2,16.799857056261366,65,54,46,Referral,0,0,2,1
75,34,Female,Bachelor,14,5,3.046697218717269,67,38,86,Referral,1,0,2,1
78,31,Female,Bachelor,4,3,4.155318455777312,56,28,89,Referral,0,0,2,1
81,34,Female,High School,2,4,17.863344802711318,91,30,79,Referral,1,0,2,0
83,33,Female,Bachelor,14,1,15.067531092692082,70,30,2,Referral,0,0,2,1
85,23,Female,Bachelor,9,4,24.76929276777412,24,45,68,Referral,1,0,2,1
86,37,Male,Bachelor,8,3,40.150011567360096,96,96,83,Referral,1,1,2,1
87,27,Male,Bachelor,0,3,38.50766147157562,64,76,13,Referral,0,1,2,1
88,23,Female,High School,15,4,23.84089022780676,5,51,95,Referral,1,0,2,0
90,49,Male,Bachelor,5,1,6.711856929569792,9,87,69,Referral,1,1,2,1
92,41,Female,PhD,10,3,42.398823175112575,10,40,99,Referral,1,0,2,3
93,29,Female,Bachelor,3,4,19.899701931307657,96,94,39,Referral,1,0,2,1
98,37,Male,Bachelor,3,5,22.24767595312152,64,33,79,Referral,0,1,2,1
100,31,Female,High School,2,1,36.953781025540586,66,27,76,Referral,0,0,2,0
101,21,Male,Bachelor,9,3,28.375894202999724,81,82,53,Referral,1,1,2,1
105,33,Female,Bachelor,14,4,20.66307425496076,16,96,24,Referral,1,0,2,1
109,27,Male,High School,15,4,33.68933755622308,100,66,27,Referral,1,1,2,0
110,33,Female,PhD,4,3,18.50993405116096,25,60,77,Referral,1,0,2,3
115,27,Female,Bachelor,1,4,50.66325982148733,1,85,78,Referral,1,0,2,1
118,32,Female,Master,12,3,26.83137959271377,3,29,44,Referral,1,0,2,2
119,37,Male,Master,11,3,15.23001911523405,35,59,91,Referral,1,1,2,2
123,45,Female,High School,3,4,15.502201408899328,100,52,96,Referral,1,0,2,0
125,47,Male,Bachelor,0,2,14.260426849841457,25,96,13,Referral,0,1,2,1
128,32,Male,Bachelor,2,3,21.95680872210275,83,71,13,Referral,1,1,2,1
129,28,Female,Bachelor,0,2,6.664980219913385,32,78,64,Referral,1,0,2,1
132,32,Female,Bachelor,8,5,9.229963684978737,99,33,6,Referral,1,0,2,1
135,26,Female,High School,9,4,12.015954931098376,45,68,48,Referral,1,0,2,0
140,27,Female,Bachelor,5,2,38.17175869780972,91,3,55,Referral,0,0,2,1
145,36,Female,Bachelor,5,2,20.70450763872516,18,32,87,Referral,0,0,2,1
148,22,Male,Bachelor,3,1,2.760758676276175,78,15,7,Referral,0,1,2,1
152,29,Male,High School,8,3,27.86702484215906,21,86,94,Referral,1,1,2,0
153,26,Female,Bachelor,11,3,10.597771949786289,45,81,39,Referral,1,0,2,1
158,28,Female,Bachelor,10,4,24.816117610345216,89,64,52,Referral,1,0,2,1
162,20,Male,Master,2,3,32.27390302123307,23,8,5,Referral,0,1,2,2
163,35,Male,Master,7,5,8.742878703941063,66,50,54,Referral,1,1,2,2
165,42,Male,PhD,0,1,11.451851869296114,93,87,43,Referral,1,1,2,3
166,49,Female,Master,10,4,35.789748347037275,98,77,17,Referral,1,0,2,2
167,43,Male,Bachelor,8,3,48.21044191730538,47,2,15,Referral,0,1,2,1
171,27,Male,Bachelor,3,3,23.141468519216208,27,72,63,Referral,1,1,2,1
173,46,Male,Master,7,4,11.300283927601994,92,1,92,Referral,1,1,2,2
177,24,Male,Master,6,1,42.93044437669811,48,88,96,Referral,1,1,2,2
178,34,Female,Bachelor,14,3,41.42852670736952,84,46,46,Referral,1,0,2,1
181,20,Female,High School,14,2,20.106645441299392,83,32,44,Referral,1,0,2,0
186,33,Female,High School,13,1,32.72782338707624,73,83,35,Referral,1,0,2,0
187,26,Male,Bachelor,4,4,32.05931610970416,73,71,12,Referral,1,1,2,1
188,46,Male,Bachelor,10,2,7.037331794834006,69,41,90,Referral,1,1,2,1
190,34,Female,Bachelor,1,1,10.346571472072348,87,8,100,Referral,1,0,2,1
192,45,Male,Bachelor,10,2,25.405877171686747,42,88,71,Referral,1,1,2,1
195,32,Female,Master,2,1,22.432213960426587,57,18,75,Referral,1,0,2,2
196,38,Female,Bachelor,13,1,32.425108511810194,36,19,35,Referral,0,0,2,1
198,26,Male,Bachelor,0,4,32.37339493830364,64,69,80,Referral,1,1,2,1
199,36,Male,Bachelor,10,2,47.18324187748264,5,16,39,Referral,0,1,2,1
200,39,Female,Bachelor,15,2,50.87590655863375,49,88,92,Referral,1,0,2,1
204,24,Female,High School,6,5,20.956305022248305,78,2,67,Referral,1,0,2,0
208,34,Female,Master,14,2,46.92608013852589,87,25,6,Referral,1,0,2,2
212,32,Male,Bachelor,14,2,12.950726733297168,64,7,78,Referral,1,1,2,1
213,26,Male,Bachelor,12,3,32.44364484940877,59,80,94,Referral,1,1,2,1
214,46,Female,High School,7,3,33.01903733221205,45,94,53,Referral,1,0,2,0
215,38,Female,Bachelor,13,1,43.525211416429855,35,36,79,Referral,1,0,2,1
219,29,Female,Bachelor,0,5,14.699439077150904,10,3,5,Referral,0,0,2,1
220,32,Male,Master,6,3,30.652809498367883,11,85,28,Referral,1,1,2,2
221,49,Female,Bachelor,7,2,25.46136273749596,41,89,16,Referral,1,0,2,1
222,44,Male,Bachelor,10,1,7.66722336581852,38,95,59,Referral,1,1,2,1
224,25,Female,Bachelor,7,3,15.5846725360793,10,98,23,Referral,1,0,2,1
225,47,Male,Bachelor,2,2,47.2154783526279,35,36,80,Referral,0,1,2,1
230,49,Male,High School,12,2,6.911919623607026,17,54,55,Referral,1,1,2,0
235,47,Female,Bachelor,0,4,1.8330235622107995,72,31,47,Referral,0,0,2,1
237,26,Female,High School,11,5,40.7830115330721,54,37,20,Referral,0,0,2,0
243,49,Female,Master,7,5,7.5529315402145185,42,55,76,Referral,1,0,2,2
246,32,Female,High School,1,4,38.5165387909978,66,9,61,Referral,0,0,2,0
252,46,Female,Bachelor,5,5,27.807769312636804,9,90,7,Referral,0,0,2,1
253,28,Male,PhD,9,4,36.86813765181834,37,91,72,Referral,1,1,2,3
257,38,Male,Bachelor,11,5,24.77318030845602,70,51,30,Referral,1,1,2,1
258,29,Female,Bachelor,10,3,38.84638296707208,14,96,20,Referral,1,0,2,1
259,31,Female,Bachelor,4,4,35.45605452478791,17,18,24,Referral,0,0,2,1
263,41,Male,Master,1,2,6.557543989165592,83,8,42,Referral,1,1,2,2
264,43,Female,High School,14,5,2.520794040398399,97,72,40,Referral,1,0,2,0
266,39,Female,Bachelor,15,3,44.70068356543578,25,16,56,Referral,0,0,2,1
272,31,Female,High School,5,2,21.084844637988823,10,32,67,Referral,0,0,2,0
275,21,Male,Bachelor,12,4,33.54166107807425,0,5,33,Referral,0,1,2,1
277,36,Male,PhD,5,3,9.783604997795535,1,54,96,Referral,1,1,2,3
278,24,Female,PhD,7,2,26.659494585491487,84,4,23,Referral,1,0,2,3
279,36,Male,PhD,3,5,36.76905085893276,19,58,19,Referral,1,1,2,3
283,36,Male,Bachelor,6,4,4.765071679923487,87,81,6,Referral,1,1,2,1
287,41,Male,High School,1,3,23.83652964429201,19,60,51,Referral,0,1,2,0
288,42,Male,Bachelor,8,3,17.461530767069725,81,7,14,Referral,1,1,2,1
289,24,Male,Master,0,4,3.624085504986379,0,2,45,Referral,0,1,2,2
297,45,Female,High School,9,4,32.79553828548692,23,94,20,Referral,1,0,2,0
298,25,Female,PhD,11,3,39.29342128312658,59,32,14,Referral,1,0,2,3
301,42,Male,Bachelor,6,4,1.9724025184040583,76,15,79,Referral,1,1,2,1
308,43,Male,Bachelor,3,2,6.596728906739462,65,62,52,Referral,0,1,2,1
313,41,Male,High School,11,1,13.543673585805523,50,15,56,Referral,0,1,2,0
315,50,Female,Bachelor,7,5,46.44327031595018,42,28,42,Referral,0,0,2,1
321,46,Male,Bachelor,14,2,3.525369619140327,38,90,74,Referral,1,1,2,1
323,35,Female,PhD,3,2,45.52204740005429,27,12,79,Referral,1,0,2,3
325,22,Male,Bachelor,8,1,24.612424947257928,42,55,93,Referral,1,1,2,1
340,27,Female,Master,15,4,24.611321287810217,55,90,2,Referral,1,0,2,2
345,30,Male,Bachelor,8,4,40.70911726585918,51,97,16,Referral,1,1,2,1
346,47,Male,High School,5,4,32.26080625157191,90,45,62,Referral,1,1,2,0
356,47,Female,Master,6,3,38.43492392195776,99,53,2,Referral,1,0,2,2
362,47,Male,Master,13,2,5.84893812580477,17,97,44,Referral,1,1,2,2
364,21,Male,High School,14,4,7.461190005137468,42,100,36,Referral,1,1,2,0
368,31,Female,Master,14,2,14.583209568182774,82,86,64,Referral,1,0,2,2
369,24,Male,Master,4,4,6.187817176792819,47,99,2,Referral,1,1,2,2
370,24,Female,Bachelor,6,2,15.771101815688247,6,48,25,Referral,0,0,2,1
371,46,Male,Bachelor,12,1,5.527973380046024,79,72,52,Referral,1,1,2,1
375,22,Male,Master,14,5,41.85955253633205,36,49,29,Referral,1,1,2,2
378,35,Male,High School,12,4,2.447215837168353,80,76,88,Referral,1,1,2,0
380,39,Female,Master,6,3,2.619456888799753,89,58,21,Referral,1,0,2,2
381,43,Female,Bachelor,7,3,17.792174351965798,85,64,14,Referral,1,0,2,1
390,23,Male,Bachelor,5,2,10.270442518702716,81,87,1,Referral,1,1,2,1
391,25,Female,High School,0,1,10.10315644409277,73,68,57,Referral,1,0,2,0
394,49,Male,High School,13,2,4.9802538496252815,36,29,77,Referral,1,1,2,0
396,35,Female,High School,15,4,33.717322982642884,76,5,11,Referral,1,0,2,0
398,44,Female,Bachelor,2,1,13.207378025345362,76,18,26,Referral,0,0,2,1
401,48,Female,Bachelor,9,4,33.99967250676586,65,65,45,Referral,1,0,2,1
404,37,Female,Bachelor,2,1,14.124250395029552,57,36,91,Referral,0,0,2,1
